retailer,ingredient_key,name,line_count,status,each_to_grams,needs_substitution,spend_score,model,llm_notes,reviewer_notes,decided_by,created_at,updated_at,pantry_staple,search_term,alias_of,unit_kind
ocado,name:apple juice,Apple Juice,19,approved,,0,30.4,gpt-5.6-luna,"Accepted plain apple juices and cloudy/pressed apple juice variants. Apple blends containing elderflower, mango, pear, ginger, watermelon or other fruits were excluded because they materially change the ingredient.",,human,2026-07-23 23:14:43.372109,2026-07-23 23:18:04.901259,0,,,mass
ocado,name:apricot jam,Apricot Jam,40,approved,,0,40.0,gpt-5.6-luna,"Accepted conventional apricot jam, conserve and preserve products. Compotes and flavoured or chia spreads were excluded as they are not straightforward plain apricot jam matches.",,human,2026-07-23 22:39:00.632448,2026-07-23 23:00:36.734654,0,,,mass
ocado,name:arborio rice,Arborio Rice,88,approved,,0,206.8,gpt-5.6-luna,"Carnaroli products are a different risotto-rice variety and were not accepted as Arborio. Wholegrain, rice mixes, prepared risotto products, and the very poorly rated Daylesford option were also excluded.",,human,2026-07-23 15:53:17.805479,2026-07-23 22:30:14.104178,0,,,mass
ocado,name:asian broth paste,Asian Broth Paste,16,approved,,0,38.4,gpt-5.6-luna,"The closest matches are ramen pastes and ramen soup base. The tom yum, laksa and miso options are flavour-specific substitutes rather than generic broth paste.",,human,2026-07-23 23:16:14.711884,2026-07-23 23:17:58.156369,0,,,mass
ocado,name:asparagus,Asparagus,295,approved,,0,516.25,gpt-5.6-luna,"Accepted fresh asparagus products are ranked first; tips and preserved/white asparagus are included only as form-different alternatives. Mixed prepared meals, soup, cream, ravioli and risotto products were rejected.",,human,2026-07-21 17:47:23.615105,2026-07-22 16:43:12.055074,0,,,mass
ocado,name:aubergine,Aubergine,431,approved,250.0,0,431.0,gpt-5.6-luna,"Accepted only plain fresh aubergines. Prepared, grilled, roasted, pickled, dip, sauce and ready-meal products were excluded; lower-rated fresh options were also not preferred.",,human,2026-07-21 17:41:35.784517,2026-07-27 20:11:07.269636,0,,,count
ocado,name:avocado,Avocado,663,approved,200.0,0,994.5,gpt-5.6-luna,"Fresh medium avocados are the direct match. One medium avocado is estimated at about 200g of usable flesh, matching the typical recipe quantity. Smashed avocado, guacamole and avocado oils were excluded because they are prepared products or different ingredients.",,human,2026-07-21 17:36:50.242579,2026-07-27 20:11:07.269222,0,,,count
ocado,name:baby bok choy,Baby Bok Choy,9,approved,,0,24.75,gpt-5.6-luna,Baby bok choy is commonly sold in the UK as baby pak choi; the first two products are direct matches.,,human,2026-07-23 23:46:13.689465,2026-07-24 10:52:20.280996,0,,,mass
ocado,name:baby corn,Baby Corn,128,approved,,0,185.6,gpt-5.6-luna,Mixed vegetable selections containing baby corn were excluded because they are not pure baby corn.,,human,2026-07-21 18:02:26.681217,2026-07-23 11:26:02.553039,0,,,mass
ocado,name:baby corn greens carrots,"Baby Corn, Greens & Carrots",23,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-23 23:03:35.779168,2026-07-23 23:03:35.779182,0,,,mass
ocado,name:baby cucumber,Baby Cucumber,319,approved,100.0,0,414.7,gpt-5.6-luna,"Only the explicitly baby/mini cucumber products are accepted as direct matches; standard, small, organic, and ridge cucumbers are not equivalent enough for this ingredient.",,human,2026-07-21 17:45:38.845523,2026-07-27 20:11:07.269984,0,,,count
ocado,name:baby gem lettuce,Baby Gem Lettuce,833,approved,90.0,0,641.41,gpt-5.6-luna,"Baby Gem is commonly sold as Little Gem lettuce. Sweet Gem, Red Gem, romaine and mixed baby-leaf products were not selected as direct matches.",,human,2026-07-21 17:34:58.033126,2026-07-27 20:11:07.268367,0,,,count
ocado,name:baby leaf mix,Baby Leaf Mix,954,approved,,0,954.0,gpt-5.6-luna,,,human,2026-07-21 17:34:05.418543,2026-07-22 15:23:07.497061,0,,,mass
ocado,name:baby plum tomatoes,Baby Plum Tomatoes,1331,approved,,0,1264.45,gpt-5.6-luna,,,human,2026-07-21 17:30:00.475396,2026-07-22 11:52:35.049515,0,,,mass
ocado,name:baby spinach,Baby Spinach,1363,approved,,0,2317.1,gpt-5.6-luna,"Direct baby spinach matches are available. Generic, frozen, chopped, puréed, creamed, salad-mix and kale products were excluded.",,human,2026-07-21 17:29:47.164980,2026-07-28 17:31:20.894900,0,,,mass
ocado,name:baby watercress,Baby Watercress,9,approved,,1,13.5,gpt-5.6-luna,"No pure baby watercress candidate was provided. Use the watercress-heavy mixed leaves as a substitute, removing excess non-watercress leaves if needed.",,human,2026-07-24 10:52:56.398944,2026-07-24 10:53:08.164690,0,,,mass
ocado,name:bacon,Bacon,7,approved,,0,12.6,gpt-5.6-luna,"The ingredient is generic bacon, so both unsmoked and smoked bacon are valid exact matches; lardons are the same ingredient in a different cut/form.",,human,2026-07-24 10:58:56.345331,2026-07-24 16:47:23.182552,0,,,mass
ocado,name:bacon lardons,Bacon Lardons,1,alias,,0,,,,,human,2026-07-25 10:31:48.658223,2026-07-25 10:31:48.668959,0,,name:british smoked bacon lardons,mass
ocado,name:baharat,Baharat,8,approved,,0,20.0,gpt-5.6-luna,,,human,2026-07-24 10:54:25.196978,2026-07-24 10:56:52.700694,0,,,mass
ocado,name:baharat spice mix,Baharat Spice Mix,23,approved,,0,57.5,gpt-5.6-luna,Bart Baharat Spice Blend is the best direct match; Lebanese 7 Spice is a reasonable substitute but not identical.,,human,2026-07-23 23:03:38.368863,2026-07-23 23:12:12.949502,0,,,mass
ocado,name:baileys caramel sauce,Baileys Caramel Sauce,12,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-23 23:39:07.325572,2026-07-23 23:39:07.325575,0,,,mass
ocado,name:baking potato,Baking Potato,276,approved,220.0,0,303.6,gpt-5.6-luna,Accepted fresh baking/jacket potatoes only. Frozen baked jacket potatoes were excluded because they are pre-cooked and a different form; sweet potatoes and general-purpose Maris Piper potatoes were also excluded.,,human,2026-07-21 17:48:20.232659,2026-07-27 20:11:07.270220,0,,,count
ocado,name:balsamic glaze,Balsamic Glaze,618,approved,,0,1606.8,gpt-5.6-luna,"Accepted unflavoured balsamic glazes. Flavoured fig, truffle and chilli glazes were not ranked as defaults, and balsamic vinegar or balsamic dressing are different products.",,human,2026-07-21 17:38:14.133134,2026-07-22 11:44:32.842888,0,,,mass
ocado,name:balsamic vinegar,Balsamic Vinegar,513,approved,,0,2718.9,gpt-5.6-luna,"Accepted products are plain balsamic vinegar, including balsamic vinegar of Modena. Glazes, dressings, flavoured vinegars, and premium aged/high-density products were excluded because they are not the best default for a recipe calling simply for balsamic vinegar.",,human,2026-07-21 17:39:47.529800,2026-07-22 15:43:31.713922,0,,,mass
ocado,name:bamboo skewers,Bamboo Skewers,150,approved,1.5,0,450.0,gpt-5.6-luna,"Standard bamboo skewers are available directly. Cocktail sticks, toothpicks, straws and the unspecified Chef Aid skewers were excluded.",,human,2026-07-21 18:00:13.458101,2026-07-22 17:03:22.438087,0,,,mass
ocado,name:bao buns,Bao Buns,62,approved,28.0,0,186.0,gpt-5.6-luna,"Filled chicken, duck, prawn and teriyaki bao products were excluded because they are prepared filled meals rather than plain bao buns.",,human,2026-07-23 22:23:34.414360,2026-07-27 20:11:07.272033,0,,,count
ocado,name:basa fillets,Basa Fillets,111,approved,130.0,0,205.35,,Candidates cached but the proposal step failed: OPENAI_API_KEY is not set. Add it to the repo-root .env (see .env.example).,,human,2026-07-23 10:38:16.125294,2026-07-27 20:11:07.270965,0,,,count
ocado,name:basil,Basil,138,approved,,0,69.0,gpt-5.6-luna,"Fresh basil is the best match. Dried, frozen chopped, and potted basil are genuine basil products but differ in preparation or form. Thai basil, pesto, sauces, and prepared meals are not direct matches.",,human,2026-07-21 18:01:42.546171,2026-07-23 15:44:40.906403,0,,,mass
ocado,name:basil flavoured tuna,Basil Flavoured Tuna,29,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-23 22:54:10.130089,2026-07-23 22:54:10.130093,0,,,mass
ocado,name:basil pesto,Basil Pesto,141,alias,,0,155.1,gpt-5.6-luna,Direct basil pesto matches are available. SKU 4c0a4c9b-6a37-4d97-b790-448427e43372 was listed once and should only be treated as a single accepted product.,,human,2026-07-21 18:01:02.085881,2026-07-23 11:31:50.594483,0,,name:pesto,mass
ocado,name:basmati rice,Basmati Rice,1361,approved,,0,2449.8,gpt-5.6-luna,"Accepted products are plain, uncooked basmati rice. Microwave, boil-in-the-bag, pilau, flavoured, wholegrain/brown, and basmati-wild rice products were excluded because their preparation or composition differs from standard basmati rice.",,human,2026-07-21 17:29:54.401177,2026-07-22 11:31:26.637893,0,,,mass
ocado,name:bay leaf,Bay Leaf,15,approved,,0,15.0,gpt-5.6-luna,"The usage data appears to contain an unrealistic 250g amount; the native quantity suggests roughly 14 leaves. Fresh and dried bay leaves are both valid, with fresh marked as a form difference.",,human,2026-07-23 23:36:52.426340,2026-07-23 23:40:44.787939,0,,,mass
ocado,name:bbq sauce,BBQ Sauce,326,approved,,0,456.4,gpt-5.6-luna,"Ranked standard/classic BBQ sauces first, prioritising value, ratings and pack sizes suited to typical 32–64g recipe usage. Distinctive jerk, honey, sweet, smoky and spicy variants are included lower because they can materially change the recipe flavour. Korean BBQ sauces, marinades, seasoning mixes and cooking sauces were excluded as different styles or forms.",,human,2026-07-21 17:45:15.205033,2026-07-22 17:00:48.839546,0,,,mass
ocado,name:beef meatballs,Beef Meatballs,10,approved,,0,40.0,gpt-5.6-luna,"Accepted products are beef meatballs sold without sauce or a complete meal. Premium Wagyu and Daylesford options, prepared meals, tinned meatballs in sauce or gravy, and baby food products were excluded.",,human,2026-07-23 23:45:11.204099,2026-07-24 10:51:35.321353,0,,,mass
ocado,name:beef rump steak,Beef Rump Steak,19,approved,,0,83.6,gpt-5.6-luna,"Direct beef rump steak matches are available. Premium dry-aged, Wagyu and specialist organic options were not prioritised; picanha and lamb rump were excluded as different cuts/species.",,human,2026-07-23 23:14:49.209040,2026-07-23 23:23:05.842015,0,,,mass
ocado,name:beef sizzler steaks,Beef Sizzler Steaks,19,approved,200.0,0,96.9,gpt-5.6-luna,,,human,2026-07-23 23:14:53.816508,2026-07-27 20:11:07.273420,0,,,count
ocado,name:beef stock paste,Beef Stock Paste,206,approved,,0,515.0,gpt-5.6-luna,"Stock pots are the closest match to beef stock paste. Concentrated liquid stock and beef stock cubes are valid form-different substitutes; gravy pots, bone broth, soup stock and ready-made stock were excluded.",,human,2026-07-21 17:52:12.181129,2026-07-22 16:50:06.923614,0,,,mass
ocado,name:beef stock pot,Beef Stock Pot,31,approved,25.0,0,52.7,gpt-5.6-luna,Direct beef stock pot matches are available. Stock cubes and ready-to-use stock are included only as lower-ranked form-different alternatives.,,human,2026-07-23 22:53:01.242433,2026-07-27 20:11:07.272631,0,,,count
ocado,name:beef stock powder,Beef Stock Powder,63,approved,,0,185.85,gpt-5.6-luna,The CJ product is the only direct powdered match. The other accepted products are beef stock in cube or pot form and can generally replace powder once dissolved; liquid stocks and bone broths were excluded because they are substantially different formats and dosing.,,human,2026-07-23 22:23:10.049376,2026-07-23 22:25:26.041008,0,,,mass
ocado,name:beef strips,Beef Strips,52,approved,,0,351.0,gpt-5.6-luna,"The remaining candidates are pork, dried/snack beef, vegetarian strips, or pet treats, so they are not suitable matches.",,human,2026-07-23 22:24:39.853383,2026-07-23 22:27:11.699512,0,,,mass
ocado,name:beetroot,Beetroot,31,approved,120.0,0,65.1,gpt-5.6-luna,"Fresh bunched beetroot is the best match for the generic ingredient. Cooked, sliced, grated or pickled products are included only as form-different alternatives.",,human,2026-07-23 22:53:10.988155,2026-07-27 20:11:07.272631,0,,,count
ocado,name:bell pepper,Bell Pepper,1701,approved,160.0,0,3572.1,gpt-5.6-luna,"Fresh mixed, red, green, or sweet peppers are direct matches for bell pepper. Frozen sliced peppers are included as a lower-ranked form difference.",,human,2026-07-21 17:33:09.493491,2026-07-27 20:11:07.267508,0,,,count
ocado,name:biona chilli beans,Biona Chilli Beans,5,approved,,0,8.5,gpt-5.6-luna,"The 350g Mexican-style bean chilli is a prepared bean-chilli dish rather than chilli beans in the expected form, so it is excluded.",,human,2026-07-24 16:54:23.568785,2026-07-27 11:18:15.654327,0,,,mass
ocado,name:black bean sauce,Black Bean Sauce,10,approved,,0,25.0,gpt-5.6-luna,"Plain black bean sauce is available directly. Garlic, red-pepper and stir-fry variants are included only as lower-ranked form differences; plain canned black beans and black bean chilli oil are not suitable matches.",,human,2026-07-23 23:45:18.292114,2026-07-24 10:52:15.376910,0,,,mass
ocado,name:black beans,Black Beans,324,approved,240.0,0,152.28,gpt-5.6-luna,"Accepted plain or simply water-packed black beans, including black turtle beans. Seasoned chilli beans, refried beans, salads, burgers and other prepared products were excluded.",,human,2026-07-21 17:45:29.608111,2026-07-28 10:40:32.242819,0,,,mass
ocado,name:black garlic cloves,Black Garlic Cloves,9,approved,,0,55.8,gpt-5.6-luna,An exact black garlic cloves product is available; the other options are different forms of black garlic.,,human,2026-07-24 10:53:00.955882,2026-07-24 10:56:23.119388,0,,,mass
ocado,name:black garlic paste,Black Garlic Paste,11,approved,,0,67.1,gpt-5.6-luna,"Only the Bart Black Garlic Paste is a direct match. The other garlic pastes are smoked, roasted, or otherwise different products.",,human,2026-07-23 23:43:51.347940,2026-07-24 10:48:49.783978,0,,,mass
ocado,name:black olives,Black Olives,46,approved,,0,69.0,gpt-5.6-luna,Several suitable black olive products are available. Pitted or sliced options are marked as form_differs because the generic ingredient does not specify preparation.,,human,2026-07-23 22:37:09.631333,2026-07-23 22:38:12.040951,0,,,mass
ocado,name:black peppercorns,Black Peppercorns,29,approved,,0,43.5,gpt-5.6-luna,"Accepted whole black peppercorn products, with grinder formats included lower-ranked as form_differs. Ground and coarse-ground pepper products were excluded because the requested ingredient is peppercorns.",,human,2026-07-23 22:54:17.017342,2026-07-23 22:56:53.812087,1,,,mass
ocado,name:black sesame seeds,Black Sesame Seeds,128,approved,,0,268.8,gpt-5.6-luna,,,human,2026-07-21 18:02:30.932384,2026-07-22 22:46:30.422155,0,,,mass
ocado,name:blanched peas young pea pods and green beans,edamame,34,approved,,0,88.4,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 22:52:19.979992,2026-07-27 19:22:21.774689,0,pea mix,,mass
ocado,name:blueberries,Blueberries,156,approved,,0,343.2,gpt-5.6-luna,"Fresh blueberries are available as exact matches. Frozen blueberries are included only as form_differs alternatives; processed blueberry products, mixed berries, and blueberry-flavoured foods were rejected.",,human,2026-07-21 17:59:37.417375,2026-07-22 22:34:28.385229,0,,,mass
ocado,name:boiled water,Boiled Water,64,approved,,0,230.4,gpt-5.6-luna,"Neither candidate is water or suitable for cooking. Use potable tap water, boiled and cooled as required, or bottled still water.",,human,2026-07-23 22:22:54.686963,2026-07-23 22:29:13.567293,1,,,mass
ocado,name:boiled water for the bulgur,Boiled Water for the Bulgur,20,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 23:13:57.390202,2026-07-23 23:13:57.390207,1,,,mass
ocado,name:boiled water for the couscous,Boiled Water for the Couscous,62,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 22:23:34.488194,2026-07-23 22:23:34.488211,1,,,mass
ocado,name:boiled water for the dressing,Boiled Water for the Dressing,11,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 23:43:51.425091,2026-07-23 23:43:51.425094,1,,,mass
ocado,name:boiled water for the rice,Boiled Water for the Rice,22,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 23:03:54.225579,2026-07-23 23:03:54.225585,1,,,mass
ocado,name:boiled water for the risotto,Boiled Water for the Risotto,84,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 15:55:09.955642,2026-07-23 15:55:09.955648,1,,,mass
ocado,name:boiled water for the sauce,Boiled Water for the Sauce,31,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 22:53:11.000714,2026-07-23 22:53:11.000717,1,,,mass
ocado,name:boiled water for the soup,Boiled Water for the Soup,6,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-24 11:01:08.032646,2026-07-24 11:01:08.032655,1,,,mass
ocado,name:boiled water for the stock,Boiled Water for the Stock,32,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 22:52:42.381751,2026-07-23 22:52:42.381757,1,,,mass
ocado,name:boiling water,Boiling Water,84,approved,,0,,,Assumed already in the cupboard; not shopped for.,,auto,2026-07-23 15:55:09.963207,2026-07-23 15:55:09.963213,1,,,mass
ocado,name:bol roasted red pepper tomato power soup 600g,BOL Roasted Red Pepper & Tomato Power Soup 600g,5,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-24 16:54:23.698465,2026-07-24 16:54:23.698474,0,,,mass
ocado,name:bolognese garnish,Bolognese Garnish,8,no_match,,0,,,Ocado returned no products for this name — try rewording the search.,,auto,2026-07-24 10:54:25.313674,2026-07-24 10:54:25.313686,0,,,mass
ocado,name:borlotti beans,Borlotti Beans,9,approved,,0,4.95,gpt-5.6-luna,Several direct canned/carton borlotti bean options are available; the 430g M&S and 380g Cirio packs best match the typical 390g usage.,,human,2026-07-24 10:53:06.725092,2026-07-24 10:58:11.556828,0,,,mass
ocado,name:brazil nuts,Brazil Nuts,5,approved,,0,24.0,gpt-5.6-luna,"Accepted plain Brazil nut products only. Chocolate-coated Brazils, nut blends, and cake were rejected as they are not the requested ingredient.",,human,2026-07-24 16:54:29.258780,2026-07-25 10:22:08.384561,0,,,mass
ocado,name:brazilian style spice mix,Brazilian Style Spice Mix,22,approved,,0,29.7,gpt-5.6-luna,The 28g pack is larger than the typical 8g recipe usage but is the only direct Brazilian-style spice mix match.,,human,2026-07-23 23:03:57.678655,2026-07-23 23:12:34.167659,0,,,mass
ocado,name:breadcrumbs,Breadcrumbs,705,approved,,0,1304.25,gpt-5.6-luna,"Standard natural, golden, white, and plain breadcrumbs are direct matches. Panko and gluten-free crunchy crumbs are valid but differ in texture or formulation.",,human,2026-07-21 17:36:00.777769,2026-07-22 11:52:03.054192,0,,,mass
ocado,name:brioche bun,Brioche Bun,18,alias,60.0,0,28.8,gpt-5.6-luna,Plain brioche burger buns are preferred. The per-unit weight is estimated at about 60g because most candidate products are sold by count without a stated weight.,,human,2026-07-23 23:15:12.433183,2026-07-23 23:18:17.391830,0,,name:burger buns,mass
ocado,name:brioche hot dog buns,Brioche Hot Dog Buns,145,approved,60.0,0,362.5,gpt-5.6-luna,"Excluded ordinary hot dog rolls, burger buns and generic brioche rolls because they are not specifically brioche hot dog buns. The M&S Posh option was omitted as a premium outlier.",,human,2026-07-21 18:00:27.281479,2026-07-27 20:11:07.270560,0,,,count
ocado,name:british beef and pork mince,Pork Mince,47,approved,,1,188.0,gpt-5.6-luna,"No candidate is British beef and pork mince as a combined product. The recipe would require a composite of British beef mince and British pork mince; suitable candidates include Ocado British Pork Mince 12% Fat (500g) and M&S Beef Mince 5% Fat Frozen (750g), mixed to the required ratio.",,human,2026-07-23 22:37:00.514444,2026-07-23 22:42:00.358253,0,Pork Mince,,mass
ocado,name:british beef mince,Beef Mince,1208,approved,,0,6281.6,gpt-5.6-luna,"Both accepted products explicitly identify the beef as British. Other candidates either do not state British origin, are premium-priced, or have less suitable forms/specifications.",,human,2026-07-21 17:30:15.816060,2026-07-22 10:16:56.610144,0,Beef Mince,,mass
ocado,name:british beef roasting joint,British Beef Roasting Joint,30,approved,,0,390.0,gpt-5.6-luna,"Direct beef roasting-joint matches are available. The 450g British basted boneless joint is the closest pack-size match, while the Ocado small roasting joint is the best own-brand/value alternative.",,human,2026-07-23 22:53:40.150584,2026-07-23 23:10:13.150934,0,,,mass
ocado,name:british chicken breasts,British Chicken Breasts,943,approved,160.0,0,2696.98,gpt-5.6-luna,Several direct British chicken breast fillet options are available. The 350g Ocado pack is the best default for the typical 320g usage; larger packs suit recipes using two breasts or batch cooking.,,human,2026-07-21 17:34:20.915002,2026-07-27 20:11:07.268203,0,,,count
ocado,name:british chicken mini fillets,British Chicken Mini Fillets,11,approved,,0,34.1,gpt-5.6-luna,The first five candidates are mini chicken breast fillets; the Ocado 320g and 500g packs are the best defaults for a typical 280g recipe quantity. The frozen option is included only as a form-different fallback.,,human,2026-07-23 23:43:58.623356,2026-07-24 10:51:56.662862,0,,,mass
ocado,name:british chicken thighs,boneless chicken thighs,486,approved,150.0,0,1841.94,gpt-5.6-luna,"Direct matches are available. The typical four-thigh recipe quantity is approximately 520–600g, or about 150g per thigh.",,human,2026-07-21 17:40:26.228505,2026-07-27 20:11:07.269490,0,boneless chicken thighs,,count
ocado,name:british cumberland sausages,British Cumberland Sausages,97,approved,60.0,0,252.2,gpt-5.6-luna,"Rejected the plain pork sausages, vegetarian Cauldron sausages, salami, and premium Daylesford option as they are not as good a direct default match.",,human,2026-07-23 15:52:18.209502,2026-07-27 20:11:07.271266,0,,,count
ocado,name:british hickory smoked sausages,smoked sausages,88,approved,60.0,0,528.0,,Ocado returned no products for this name — try rewording the search.,,human,2026-07-23 15:53:17.922843,2026-07-27 20:11:07.271349,0,smoked sausages,,count
ocado,name:british honey mustard sausages,British Honey Mustard Sausages,83,approved,60.0,0,332.0,gpt-5.6-luna,No substitution needed; this is the only candidate explicitly matching both the honey and mustard sausage flavour.,,human,2026-07-23 15:55:23.245064,2026-07-27 20:11:07.271515,0,,,count
ocado,name:british pork and oregano sausage meat,Sausage Meat,201,approved,,1,753.75,gpt-5.6-luna,No candidate is explicitly British pork and oregano sausage meat. The two loose pork sausagemeat products are the closest matches; add dried or fresh oregano separately. Plain pork sausages are fallback options only and need their casings removed.,,human,2026-07-21 17:52:48.526535,2026-07-22 15:49:25.816878,0,Sausage Meat,,mass
ocado,name:british pork loin steaks,British Pork Loin Steaks,160,approved,150.0,0,760.0,gpt-5.6-luna,"The first three products are direct matches. Medallions are included only as a lower-ranked form-different alternative; seasoned, breaded, chops, cutlets and premium dry-aged products were excluded.",,human,2026-07-21 17:59:16.018998,2026-07-27 20:11:07.270559,0,,,count
ocado,name:british pork mince,Pork Mince,418,approved,,0,1128.6,gpt-5.6-luna,"Other pork mince options are premium-priced outliers. Sausage meat and sausage mince are seasoned or otherwise different products, so they are not accepted as direct matches.",,human,2026-07-21 17:41:52.027457,2026-07-22 11:53:18.460172,0,Pork Mince,,mass
ocado,name:british smoked bacon lardons,Smoked Bacon Lardons,651,approved,,0,2441.25,gpt-5.6-luna,"The Ocado own-brand product is good-value smoked bacon lardons but does not state that the bacon is British, so it is not included for this specifically British ingredient.",,human,2026-07-21 17:37:23.739181,2026-07-22 11:34:41.503948,0,Smoked Bacon Lardons,,mass
ocado,name:british streaky bacon,Streaky Bacon,390,approved,25.0,0,1560.0,gpt-5.6-luna,Both smoked and unsmoked British streaky bacon are valid variants of this generic ingredient. Products without explicit British provenance were not prioritised.,,human,2026-07-21 17:43:18.668575,2026-07-28 10:40:32.242819,0,Streaky Bacon,,mass
ocado,name:british turkey steaks,British Turkey Steaks,69,approved,150.0,0,255.3,gpt-5.6-luna,The first two products are exact matches. The turkey breast fillets are included as a usable different-form option; the turkey joint and unspecified sizzle steaks are not reliable matches.,,human,2026-07-23 22:22:32.950589,2026-07-27 20:11:07.271957,0,,,count
ocado,name:broccoli,Broccoli,180,approved,350.0,0,147.6,gpt-5.6-luna,"Standard fresh broccoli is the best match. Florets, frozen broccoli and Tenderstem are usable form or variety differences; mixed vegetable products and prepared meals were excluded.",,human,2026-07-21 17:53:43.621777,2026-07-27 20:11:07.270465,0,,,count
ocado,name:broccoli florets,Broccoli Florets,117,approved,,0,175.5,,Candidates cached but the proposal step failed: OPENAI_API_KEY is not set. Add it to the repo-root .env (see .env.example).,,human,2026-07-23 10:38:12.066747,2026-07-27 11:17:05.382928,0,,,mass
ocado,name:brown basmati rice,Brown Basmati Rice,74,approved,,0,122.1,gpt-5.6-luna,"Accepted products are dry wholegrain/brown basmati rice. Microwave, boil-in-the-bag, white-basmati blends, wild-rice blends and other rice varieties were excluded.",,human,2026-07-23 22:21:42.287172,2026-07-23 22:34:30.816138,0,,,mass
ocado,name:brown lentils,Brown Lentils,8,approved,,0,21.6,gpt-5.6-luna,"Ranked only products explicitly identified as brown lentils. Red, green, beluga, Puy, prepared lentil dishes and generic lentil products were excluded.",,human,2026-07-24 10:54:32.592984,2026-07-24 10:56:46.147246,0,,,mass
ocado,name:brown rice quinoa,Brown Rice & Quinoa,22,approved,,0,27.5,gpt-5.6-luna,,,human,2026-07-23 23:04:01.318807,2026-07-23 23:12:37.211357,0,,,mass
