retailer,ingredient_key,sku,rank,match_type,accepted,reason,source,llm_rank
ocado,name:apricot jam,6d3de85f-ac43-403a-9b04-715cdb9c10fa,2,exact,1,"Conventional apricot conserve suitable for baking, glazing and spreading; a good mid-sized jar.",human,
ocado,name:apricot jam,5ad9983f-92ce-4790-83c3-2a56e75a70bd,3,exact,1,Apricot preserve is directly interchangeable with apricot jam and the 340g pack suits typical recipe quantities.,human,
ocado,name:apricot jam,505d29cd-9432-47af-9124-caf331cafd1a,4,exact,1,"Good-value apricot conserve in a 340g pack, though with fewer ratings and a slightly lower score.",human,
ocado,name:apricot jam,6d4e7773-3a21-4b73-af2a-5acc8bdd54b8,5,exact,1,"Apricot conserve with strong ratings; the 335g pack is suitable, but it is relatively expensive.",human,
ocado,name:apricot jam,bc8cc39b-fe00-4945-98ee-49e73786f67b,6,exact,1,"Apricot jam with a smaller 200g pack, useful for occasional recipes but poor value per kilogram.",human,
ocado,name:apricot jam,3a944ef6-cfff-45fe-b107-27c1c2786f17,7,exact,1,"Same suitable apricot conserve as the smaller Bonne Maman jar, with better unit value but an oversized 750g pack for typical usage.",human,
ocado,name:apricot jam,d5c54310-07a2-42b4-a7fd-a680b4cd60d3,8,substitute,1,"Thick apricot fruit spread can replace jam, but its formulation and texture differ from conventional jam.",human,
ocado,name:apricot jam,431f993f-8dda-484b-be00-1d09055d90a0,9,exact,1,"Apricot conserve is suitable, but the 600g compote-style pack is less convenient and less jam-like than the higher-ranked options.",human,
ocado,name:arborio rice,62551fe7-8ccc-4ee2-bf7e-95db62937c97,1,exact,1,Explicitly Arborio risotto rice; good-value 500g pack suited to the typical 175g recipe quantity.,human,
ocado,name:arborio rice,bb73d1e2-9e73-474b-a09d-0351393f23fb,2,exact,1,"Explicitly Arborio risotto rice in a practical 500g pack, with a strong rating.",human,
ocado,name:arborio rice,fb791e30-cb30-44bc-9dcb-896f85c84321,3,exact,1,Explicitly Arborio risotto rice in a suitable 500g pack; reasonable value.,human,
ocado,name:arborio rice,3f10766e-817d-43bd-849a-7c2e4bb72020,4,exact,1,"Explicitly Arborio risotto rice and good value per kilogram, though the 1kg pack is larger than typically needed.",human,
ocado,name:arborio rice,592583e5-f6dc-4b56-949d-502d2f7f5fa8,5,exact,1,"Explicitly Arborio risotto rice; genuine match, but the 1kg pack is larger and less good value than the leading options.",human,
ocado,name:arborio rice,55f3ee24-9c03-4a8d-878f-090654c1d959,6,exact,1,"Explicitly Arborio rice in a suitable 500g pack, but premium-priced compared with the better-value options.",human,
ocado,name:asian broth paste,14a3f44a-091b-4798-b09b-21d4879e24a7,1,exact,1,Ramen paste is a direct Asian broth concentrate and the 170g pack is a practical size for recipes using about 25g.,human,
ocado,name:asian broth paste,16acf902-6560-4235-92c1-cc3dcde36309,2,exact,1,A ramen broth paste with the right concentrated format and a suitable 140g pack size.,human,
ocado,name:asian broth paste,38916861-7897-4bce-82a7-3e6ebaeeb715,3,form_differs,1,"Direct ramen soup base concentrate, but liquid rather than paste; suitable when the recipe can accommodate a liquid concentrate.",human,
ocado,name:asian broth paste,eecb1890-a95f-4438-bfc4-ca9426f7f33e,4,substitute,1,"Tom yum paste is a suitable Asian soup/broth concentrate, though it gives a distinctive hot, sour Thai flavour.",human,
ocado,name:asian broth paste,466da957-bc3b-4ea8-9415-6fc0cf850a27,5,substitute,1,"Laksa paste can provide an Asian broth base, but adds a specific Malaysian-style spiced coconut flavour.",human,
ocado,name:asian broth paste,8ae08b7e-4e1b-48e1-8c5e-0ab8783bd6cb,6,substitute,1,"Miso soup paste is a reasonable Japanese broth substitute, though it is more specifically miso-based and the small sachets are less versatile.",human,
ocado,name:asparagus,01f23165-6f0f-4f83-9bb5-a72a7b1ce7cd,1,exact,1,"Ocado own-brand fresh asparagus in a good-value 180g bundle, closely matching the common 100–200g recipe quantities.",human,
ocado,name:asparagus,c2baa4d0-0b7a-47f7-b582-9006a9d070d0,2,exact,1,"Good-value Ocado organic fresh asparagus in a 200g pack, suitable for recipes commonly using 100–200g.",human,
ocado,name:asparagus,49ff7e61-5902-4bb8-8f43-86ca196b772e,3,exact,1,M&S fresh asparagus bundle with a useful 250g pack size and reasonable price per kilogram.,human,
ocado,name:asparagus,b7204d03-90ee-40bb-9d3c-40499dcb7e05,4,exact,1,"Large 350g pack of fresh asparagus spears with good value per kilogram, useful when cooking multiple portions.",human,
ocado,name:asparagus,ef9215fc-4dd4-473b-9efc-12f6a12b5ead,5,exact,1,"M&S fresh asparagus spears in a recipe-friendly 180g pack, with a stronger rating than several cheaper alternatives.",human,
ocado,name:asparagus,bcbebab0-1d4d-4d23-b3be-1923b2909798,6,exact,1,Ocado fine fresh asparagus; the 125g pack is well suited to recipes calling for around 100g.,human,
ocado,name:asparagus,416dbd85-e30e-4dba-94f5-73f0ada62fc7,7,exact,1,"M&S extra-fine fresh asparagus in a convenient 110g pack, very close to the median recipe amount.",human,
ocado,name:asparagus,5029307a-4d9a-499e-8221-3b2158919f49,8,form_differs,1,Fresh asparagus tips are the correct ingredient but trimmed/cut into a different form; the 125g pack suits typical usage.,human,
ocado,name:asparagus,43e7e084-8f3b-4d77-812e-1a3aa6106921,9,form_differs,1,"M&S asparagus tips are the correct ingredient in a trimmed form, with a convenient 125g pack.",human,
ocado,name:asparagus,2eeb1c64-479d-4a12-95a8-f2b2ffb4bd1f,10,form_differs,1,Green asparagus in a preserved white-asparagus form; usable only where colour and fresh texture are not important.,human,
ocado,name:asparagus,a13b3eed-c9e8-43a6-857b-7f1ad00c6a87,11,form_differs,1,Asparagus spears in a preserved rather than fresh form; suitable only for recipes that can accommodate canned texture.,human,
ocado,name:aubergine,9f05d197-1e62-4930-bb06-8b5e9774677d,1,exact,1,"Plain fresh aubergine at a good price, with the strongest rating among the standard options.",human,
ocado,name:aubergine,d3f09596-0011-4e0a-a633-17c10f0e56c6,2,exact,1,Plain fresh aubergine; the 350g pack suits the typical recipe quantity and is good value.,human,
ocado,name:aubergine,d878aef8-2240-4f9a-8a2e-6969df4b543e,3,exact,1,"Plain fresh aubergine in a 290g pack, close to the typical 250g usage, though more expensive and organic.",human,
ocado,name:aubergine,b427e5ae-b3e6-4e63-b209-d2ed3c04331c,4,exact,1,"Fresh aubergine and a valid direct match, but a premium option with a higher price.",human,
ocado,name:avocado,903a5d43-8cf4-4096-be8e-c770ad84e06e,1,exact,1,Ocado own-brand medium ripe-and-ready avocados; good-value 2-pack and well suited to recipes needing about one avocado (around 200g edible flesh).,human,
ocado,name:avocado,d2dd4d14-6a3d-443e-bde0-7168cfdf29b2,2,exact,1,A single Ocado medium avocado is a precise fit for the common one-avocado recipe quantity and avoids buying a multipack.,human,
ocado,name:avocado,b6eb8d47-99d6-486b-b403-e2d0c687169a,3,exact,1,Good-value Ocado medium ripe-and-ready multipack; suitable when avocados are used across several recipes.,human,
ocado,name:avocado,933a58d7-e2eb-4e26-9104-3f60304579e8,4,exact,1,"M&S medium Hass avocados, ripe and ready to use, in a reasonably sized 2-pack.",human,
ocado,name:avocado,8b1a9402-9074-41aa-a9a5-f8bf894c29c4,5,exact,1,"M&S Hass avocados in a value 4-pack; exact ingredient, though they require ripening rather than being immediately ready.",human,
ocado,name:avocado,1f09efcb-8f80-46ca-b99a-8bcecaac2175,6,exact,1,Ocado extra-large ripe-and-ready avocados; exact ingredient but larger than the typical one-medium-avocado requirement.,human,
ocado,name:avocado,70c4db5a-0bb4-4de5-bca4-b3e87719b544,7,exact,1,"M&S organic ripe avocados; exact ingredient, but less good value and lower-rated than the standard options.",human,
ocado,name:avocado,f0e7e96d-673c-41e0-bc69-9869c8af543f,8,form_differs,1,"Plain frozen avocado pieces and therefore the correct ingredient, but frozen form is less suitable where recipes require fresh avocado texture or presentation.",human,
ocado,name:avocado,e249d082-c589-4235-ad9f-7a5b9bd64384,9,form_differs,1,"Plain frozen avocado and therefore usable as the ingredient in cooked or blended recipes, but not a direct substitute for fresh avocado.",human,
ocado,name:baby bok choy,58f4d451-ecab-4ae5-8f48-9d7f7fbf1a28,1,exact,1,Ocado Baby Pak Choi is the direct equivalent of baby bok choy and the 120g pack matches the typical recipe amount closely.,human,
ocado,name:baby bok choy,2b9bc62b-889f-40ea-872c-e8d52c8cc93c,2,exact,1,"M&S Baby Pak Choi is also a direct match, though the 90g pack is slightly smaller and offers poorer value.",human,
ocado,name:baby bok choy,7c9fd3e0-cbf5-4036-8191-023c879ba072,3,form_differs,1,Regular Ocado pak choi is the same vegetable but not the baby form; it is a good-value fallback.,human,
ocado,name:baby bok choy,6b281b1c-4e61-45bb-9c4c-43cdef8bfda1,4,form_differs,1,Regular M&S pak choi is the same vegetable but not the baby form; suitable if baby pak choi is unavailable.,human,
ocado,name:baby corn,e15d6048-2cbe-4c1b-a836-5e986d3f27d3,1,exact,1,"Pure baby corn in a 125g pack, also well suited to the typical usage; organic, though slightly less value-focused.",human,
ocado,name:baby corn,f35acbbf-f7c5-4067-aaf5-477188b00189,2,exact,1,Ocado own-brand pure baby corn; the 130g pack is a good fit for the typical 60g recipe amount and is reasonably priced.,human,
ocado,name:baby corn,a0ec50a6-6f5b-4261-8e1f-0db670b4030d,3,exact,1,"Pure M&S baby corn; a suitable larger pack, but less economical and more than needed for a typical recipe.",human,
ocado,name:baby corn,795e94c2-62be-4821-9ae1-9819e4613316,4,exact,1,"Pure baby corn and the best unit value, but the 285g family pack is oversized for the typical 60g usage.",human,
ocado,name:baby cucumber,7cc1181e-e986-4213-a4aa-9ac4e393a229,1,exact,1,Baby cucumbers in a practical 200g pack; good value and the highest-rated direct match.,human,
ocado,name:baby cucumber,1a79559a-7b88-4301-b42b-c9442f91bf1c,2,exact,1,"Mini cucumbers are a direct match for baby cucumber, though the organic option is pricier.",human,
ocado,name:baby gem lettuce,21268455-ebc2-4af8-b72a-c8d5cd960a4f,1,exact,1,Direct match for Baby Gem/Little Gem lettuce; Ocado own-brand and the best-value option.,human,
ocado,name:baby gem lettuce,4c797410-13fe-4e2f-9977-a0d6acf9f9ec,2,exact,1,"Direct Little Gem lettuce match in a practical two-pack, though slightly less favourable value than Ocado own-brand.",human,
ocado,name:baby gem lettuce,5fa5603c-fd54-4451-8612-b5927cd6586c,3,exact,1,"Direct Little Gem lettuce match; organic option, but more expensive than standard packs.",human,
ocado,name:baby leaf mix,d80de021-9d02-4a4d-b412-a575f3cec5f3,1,exact,1,Ocado own-brand baby leaf salad; good-value 90g pack closely suits the common 50g recipe amount.,human,
ocado,name:baby leaf mix,81360911-109d-4914-abac-cad744bb90ed,2,exact,1,"Plain mixed babyleaf salad in an appropriately sized 80g pack; a direct match, though less economical than Ocado own-brand.",human,
ocado,name:baby leaf mix,68dd86b7-bb84-4808-a690-6e7870b8c556,3,exact,1,Plain baby leaf salad in a convenient 80g pack; directly suitable but more expensive than the Ocado option.,human,
ocado,name:baby leaf mix,82cf2301-37d0-462b-91cd-33b5093c6f8c,4,exact,1,"M&S baby leaf salad, directly matching the ingredient; the 140g pack is larger than typical usage and has a weaker rating.",human,
ocado,name:baby leaf mix,60ae5794-8794-416f-99de-4524dc75dbe7,5,exact,1,"Organic mixed leaves including baby leaves; usable as a baby leaf mix, but the 200g pack and organic premium make it less suitable as a default.",human,
ocado,name:baby leaf mix,f6c0e23f-9cd8-45b0-85fc-7b124ef83a1a,6,exact,1,"Baby leaf and rocket salad in a suitable 90g pack; acceptable mixed-leaf match, though the rocket gives it a more specific peppery profile.",human,
ocado,name:baby leaf mix,56c64a96-3070-4191-9ae3-c06c32e79c52,7,exact,1,M&S baby leaf greens in a good-value 200g pack; directly usable but substantially larger than typical recipe requirements and rated lower.,human,
ocado,name:baby plum tomatoes,e99e016a-325c-4e5d-9b55-a504364bac28,1,exact,1,"Directly labelled Baby Plum Tomatoes, good-value Ocado own-brand pack and suitable for the typical 125g recipe amount.",human,
ocado,name:baby plum tomatoes,e9328150-3eca-4ef3-85bf-a77560fb3c13,2,exact,1,"Directly labelled Baby Plum Tomatoes; the 220g pack is relatively close to typical usage, though it is vine-ripened and less economical.",human,
ocado,name:baby plum tomatoes,b3b7be7c-f3ca-4009-835d-872e8ac55257,3,exact,1,Santini tomatoes are a baby plum variety and this is a reasonably priced 340g pack.,human,
ocado,name:baby plum tomatoes,18b013d4-36e7-4e79-98aa-f90acc3896fe,4,exact,1,"Directly labelled mixed Baby Plum Tomatoes; good pack size and excellent rating, but premium-priced and organic.",human,
ocado,name:baby plum tomatoes,10727b28-7915-4900-86dd-79dcda3507d3,5,exact,1,"Datterini are small plum tomatoes and a reasonable variety-level match, but this premium 200g pack is much more expensive.",human,
ocado,name:baby plum tomatoes,5d6ec1e3-2305-40fe-b6da-ad4035e13a1c,6,exact,1,"Tiger plum tomatoes are a small plum-tomato alternative, but the premium price makes them a weaker default.",human,
ocado,name:baby spinach,f91e1c96-7fbb-4fe8-86dc-400dc55704c1,1,form_differs,1,,human,
ocado,name:baby watercress,efd43baa-b651-49b4-82bc-fbbd922d7984,1,substitute,1,"Closest available match: contains watercress with baby leaves, but is a mixed salad rather than pure baby watercress.",human,
ocado,name:bacon,0a3f0ba3-6a62-4121-bbf3-6b1d6bc84188,1,form_differs,1,"Ocado own-brand unsmoked bacon lardons are a good-value, recipe-ready form, especially suitable for the small quantity typically used.",human,
ocado,name:bacon,1e39da6d-095c-4109-aa58-a269135a29ee,2,exact,1,Good-value Ocado own-brand unsmoked bacon; a neutral default for recipes calling simply for bacon.,human,
ocado,name:bacon,6915b808-6444-4771-88cc-555257348550,3,exact,1,"Good-value Ocado own-brand smoked bacon, suitable where a smoky bacon flavour is acceptable.",human,
ocado,name:bacon,26812948-9b80-4184-9ca0-47075fe1104d,4,exact,1,Good-value thick-cut Ocado unsmoked bacon; suitable but less versatile than standard rashers for recipes requiring chopped bacon.,human,
ocado,name:bacon,1ed7aee1-fb5d-49d5-9697-2954d22f9e93,5,exact,1,"Affordable Ocado own-brand unsmoked bacon twin pack, useful for larger or repeated cooking needs but excessive for the typical small quantity.",human,
ocado,name:bacon,5b7063b7-4c2c-4a67-b00b-35b076e16def,6,exact,1,"Unsmoked dry-cured streaky bacon is a suitable richer alternative, though less good value than Ocado own-brand options.",human,
ocado,name:baharat,ab2784b5-47d3-4f01-94f5-ab31c5b3cec1,1,exact,1,Directly matches Baharat as a spice blend in a practical 35g pack.,llm,
ocado,name:baharat spice mix,ab2784b5-47d3-4f01-94f5-ab31c5b3cec1,1,exact,1,Directly matches baharat spice blend and the 35g pack is suitable for recipes using around 8g.,human,
ocado,name:baharat spice mix,7c3f7b4b-f05c-4b30-b9b7-65c067981632,2,substitute,1,"Lebanese 7-spice seasoning is a close Middle Eastern spice-blend substitute for baharat, though the blend may differ.",human,
ocado,name:baking potato,53fe3156-d1d6-4112-b94c-fc29305e45fb,1,exact,1,Ocado own-brand large baking potatoes; a 2-pack is well suited to recipes calling for one or two potatoes of around 220g.,human,
ocado,name:baking potato,c9d1c147-03b3-40ec-953f-ca75dd889716,2,exact,1,"Ocado own-brand large baking potatoes in a useful 4-pack, with good value per potato.",human,
ocado,name:baking potato,f153be5d-6938-4c4a-83ee-96410acac8c0,3,exact,1,"Good-value Ocado British baking potatoes; suitable when multiple potatoes are needed, though the 6-pack may be more than required.",human,
ocado,name:baking potato,92adfef0-ae21-460c-86fb-87ed85b34e63,4,exact,1,Clearly labelled British baking potatoes in a larger 1.5kg pack; good for frequent use but less convenient for a single recipe.,human,
ocado,name:baking potato,158e1bd8-0fec-4c62-9cbc-61c5ec333412,5,exact,1,M&S jacket potatoes are the same practical ingredient as baking potatoes; the 2.5kg pack is good for bulk use.,human,
ocado,name:baking potato,fd18aa34-9782-4d9d-b46e-e7a045bbfd14,6,exact,1,"M&S baking potatoes in a convenient 2-pack, but lower value and rating than the Ocado options.",human,
ocado,name:baking potato,bf4a5e94-9dc9-4f3c-bd37-953b084cde66,7,exact,1,M&S baking potatoes in a 4-pack; directly suitable but less good value and lower rated than the leading options.,human,
ocado,name:baking potato,99eed9b0-1290-4fed-ad04-2f1345ebd4b8,8,exact,1,"Ocado organic baking potatoes are directly suitable, but the premium price makes them a weaker default.",human,
ocado,name:baking potato,3e2f5aca-f84d-498b-b2a3-03424d5460a2,9,exact,1,"Albert Bartlett bakers are suitable baking potatoes, but are less good value than the own-brand alternatives.",human,
ocado,name:baking potato,47b7d08f-0862-4c17-8427-f60c54d61a34,10,exact,1,"Speciality baking potatoes are suitable, but are a more premium choice than needed for a standard baking potato.",human,
ocado,name:balsamic glaze,30c18e26-fec6-4983-a0ff-f3f7ce10a8f6,1,exact,1,"Plain balsamic glaze, good-value 250ml pack and the closest everyday default.",human,
ocado,name:balsamic glaze,47465b56-96bd-4efb-b90a-e430b09d6935,2,exact,1,Classic unflavoured balsamic glaze in a useful 250ml pack; well suited to the small 12ml recipe usage.,human,
ocado,name:balsamic glaze,a5389662-6e71-4a1a-bb24-5570ee4a7a4d,3,exact,1,"Classic balsamic glaze in a practical 215ml pack, with a good rating.",human,
ocado,name:balsamic glaze,d070b622-0160-4fa2-b34e-f4fae7a69edd,4,exact,1,"Plain glaze with balsamic vinegar of Modena; a suitable 250ml alternative, though less good value.",human,
ocado,name:balsamic glaze,5b1c5554-d23b-4dc8-aa83-aa5235f89884,5,exact,1,Organic balsamic glaze in a smaller 150ml pack; suitable but comparatively expensive.,human,
ocado,name:balsamic glaze,491ecfe2-9843-48e5-8acc-c68169fd21bc,6,exact,1,Plain balsamic glaze in a smaller 150ml pack; suitable but relatively expensive.,human,
ocado,name:balsamic vinegar,9e053f11-3957-460c-aec2-acf7f0ecc027,1,exact,1,"Organic balsamic vinegar in a convenient 250ml pack, with a stronger rating than the standard Filippo Berio option.",human,
ocado,name:balsamic vinegar,5419cff2-d0aa-4944-81db-de7c9f8aa875,2,exact,1,Standard balsamic vinegar with good value for a 500ml bottle.,human,
ocado,name:balsamic vinegar,0ead6884-7a14-4524-8dfb-975bba3d94c0,3,exact,1,Affordable standard M&S balsamic vinegar in a suitable 250ml size.,human,
ocado,name:balsamic vinegar,8e4b4036-ae58-404e-a121-b8e1d989e360,4,exact,1,Standard Ponti balsamic vinegar of Modena; suitable 250ml size and reasonable rating.,human,
ocado,name:balsamic vinegar,5cfb539c-c92b-4479-9110-bb011fc70cab,5,exact,1,Organic Mazzetti balsamic vinegar; directly suitable but less economical than the standard options.,human,
ocado,name:balsamic vinegar,7a6ad820-6e5f-4e68-8ff8-641bbec6c9fe,6,exact,1,Standard Ponti balsamic vinegar in a larger 500ml bottle; suitable but less good value than the higher-ranked choices.,human,
ocado,name:balsamic vinegar,5c7be0c5-a7d6-4e32-b351-40f17defed41,7,exact,1,Standard Filippo Berio balsamic vinegar in a smaller 250ml pack; direct match but less economical than its 500ml version.,human,
ocado,name:balsamic vinegar,5ffa03c3-514d-409c-8be3-1ced3d279175,8,exact,1,"Organic M&S balsamic vinegar; direct match, though relatively expensive for the pack size.",human,
ocado,name:balsamic vinegar,78326716-04b2-48fa-a400-72bbeed88d26,9,exact,1,Ponti balsamic vinegar matured for 12 months; still the correct ingredient but more specialised and expensive.,human,
ocado,name:balsamic vinegar,8856c8f1-4398-47b0-94ea-0838f17561ea,10,exact,1,"Biona organic balsamic vinegar; direct match, but its low rating makes it a weaker default.",human,
ocado,name:balsamic vinegar,285a1495-d98c-4e09-b70b-5ad7205c7db3,11,exact,1,Realfoods organic balsamic vinegar; direct match but less highly rated and not especially good value.,human,
ocado,name:bamboo skewers,2f0828ea-ffc0-48df-a45e-e908e613b10c,1,exact,1,Good-value bamboo kebab skewers in a useful 100-pack; suitable for the common 4-skewer recipe quantity.,human,
ocado,name:bamboo skewers,8bb73f31-367d-4a53-89f9-034de212ff42,2,exact,1,"Bamboo kebab skewers in a larger 30 cm flat style; suitable for grilling, though less economical than the Tala 100-pack.",human,
